,Drag Coefficient,Mass [kg],Diameter [m],Fall Velocity [m/s],Air Density [kg/m^3],Air Viscosity[N*s/m^2],Reynolds Number,Shape Class (Magono & Lee),Roll_Pic
0,0.40902758,1.1e-06,0.011069405,1.5,1.112,1.758e-05,1050.2712,bAMP7b,03_14
1,1.5098137,1.6999999e-07,0.002135886,1.03,1.112,1.758e-05,139.15578,bR4b,03_31
2,0.77231264,3e-07,0.0020549665,1.93,1.112,1.758e-05,250.86957,bR4b,05_05
3,0.46077716,7e-07,0.0030112963,2.54,1.112,1.758e-05,483.80804,bR4b,05_09
4,0.3544514,9e-08,0.0016462463,2.01,1.112,1.758e-05,209.30365,bR4b,05_15
5,0.6445952,8.9e-07,0.0069175446,1.69,1.112,1.758e-05,739.4769,bHP7b,05_28
6,0.8126182,1.6999999e-07,0.0036431348,0.868,1.112,1.758e-05,200.02344,bR3b,05_34
7,0.49446458,1.5e-08,0.00080486404,1.32,1.112,1.758e-05,67.202034,bR4b,06_31
8,0.34235644,4.7e-07,0.0065452126,1.25,1.112,1.758e-05,517.5111,bAMP7b,06_23
9,0.8846468,1.2e-07,0.0025874262,0.932,1.112,1.758e-05,152.53511,bR2b,06_33
10,0.85683113,2.5e-07,0.0047352207,0.965,1.112,1.758e-05,289.037,bAR2b,07_11
11,0.551843,2.2e-06,0.015572823,1.03,1.112,1.758e-05,1014.58984,bAMP7b,07_05
12,2.0334125,3.5e-08,0.000853616,1.03,1.112,1.758e-05,55.614197,bR4b,07_21
13,0.7672016,6e-08,0.0015257457,1.33,1.112,1.758e-05,128.35706,bR1b,07_23
14,1.2559277,5.2e-07,0.0018454201,2.17,1.112,1.758e-05,253.30334,bR4b,07_19
15,1.4574544,6e-08,0.000944299,1.33,1.112,1.758e-05,79.44144,bR4b,07_25
16,2.5213618,3e-07,0.0023837616,0.868,1.112,1.758e-05,130.87854,bR4a,07_17
17,0.8334195,9e-07,0.0022747393,2.58,1.112,1.758e-05,371.22504,bR4b,07_27
18,1.2039663,7e-08,0.00095672224,1.51,1.112,1.758e-05,91.379486,bR4b,07_31
19,2.1044812,6e-08,0.0008941411,1.16,1.112,1.758e-05,65.60697,bR4b,07_33
20,1.4018114,1.5e-08,0.00054510846,1.09,1.112,1.758e-05,37.583336,bR4b,08_24
21,0.43935207,1.2e-07,0.0022024366,1.85,1.112,1.758e-05,257.72766,bR1b,08_06
22,0.72581977,7e-08,0.0011141705,1.64,1.112,1.758e-05,115.579666,bR4b,08_22
23,0.8670713,1.6999999e-07,0.0018544776,1.67,1.112,1.758e-05,195.89528,bR1b,08_16
24,1.2388414,5e-09,0.0005556288,0.82,1.112,1.758e-05,28.819372,bR1b,08_26
25,0.8425113,9e-08,0.0011193654,1.61,1.112,1.758e-05,113.99445,bR4c,08_18
26,0.56555855,1.5e-08,0.0006214613,1.56,1.112,1.758e-05,61.32317,bR4b,08_20
27,0.9309956,6e-08,0.0010358816,1.51,1.112,1.758e-05,98.94025,bR4b,08_02
28,0.97895664,9e-08,0.0013200475,1.51,1.112,1.758e-05,126.08181,bR4b,08_12
29,0.99330187,3.5e-08,0.0007732074,1.3,1.112,1.758e-05,63.580692,bR4b,08_10
30,0.5564623,9e-08,0.0016234325,1.62,1.112,1.758e-05,166.35474,bR4b,08_04
31,0.5688166,3e-07,0.0019883818,2.14,1.112,1.758e-05,269.1532,bR4c,08_28
32,0.6992112,1.6999999e-07,0.0016204194,1.77,1.112,1.758e-05,181.42061,bR4c,08_08
33,0.8152506,1.05e-07,0.0014813858,1.62,1.112,1.758e-05,151.79907,bR4b,08_14
