,Drag Coefficient,mass,diameter,fall_velocity,air_density,air_viscosity,Reynolds Number,shapes,KPCA1
0,1.5098137,1.6999999e-07,0.002135886,1.03,1.112,1.758e-05,139.15578,14,-0.25920208589656457
1,0.77231264,3e-07,0.0020549665,1.93,1.112,1.758e-05,250.86957,14,-0.09254226762474098
2,0.46077716,7e-07,0.0030112963,2.54,1.112,1.758e-05,483.80804,14,0.36069577848131573
3,0.3544514,9e-08,0.0016462463,2.01,1.112,1.758e-05,209.30365,14,-0.33167146477161996
4,0.6445952,8.9e-07,0.0069175446,1.69,1.112,1.758e-05,739.4769,6,-0.017757165268597472
5,0.49446458,1.5e-08,0.00080486404,1.32,1.112,1.758e-05,67.202034,14,-0.09864753882945389
6,0.34235644,4.7e-07,0.0065452126,1.25,1.112,1.758e-05,517.5111,2,-0.3282962952780444
7,0.8846468,1.2e-07,0.0025874262,0.932,1.112,1.758e-05,152.53511,10,-0.27669907559778517
8,0.85683113,2.5e-07,0.0047352207,0.965,1.112,1.758e-05,289.037,4,0.18422980441180287
9,2.0334125,3.5e-08,0.000853616,1.03,1.112,1.758e-05,55.614197,14,0.02627688000482678
10,0.7672016,6e-08,0.0015257457,1.33,1.112,1.758e-05,128.35706,8,0.07572211340029257
11,1.2559277,5.2e-07,0.0018454201,2.17,1.112,1.758e-05,253.30334,14,0.10235580283078403
12,1.4574544,6e-08,0.000944299,1.33,1.112,1.758e-05,79.44144,14,-0.24390769922711944
13,2.5213618,3e-07,0.0023837616,0.868,1.112,1.758e-05,130.87854,13,-0.34810166443420987
14,0.8334195,9e-07,0.0022747393,2.58,1.112,1.758e-05,371.22504,14,-0.46973000213170446
15,1.2039663,7e-08,0.00095672224,1.51,1.112,1.758e-05,91.379486,14,-0.4387210986856154
16,2.1044812,6e-08,0.0008941411,1.16,1.112,1.758e-05,65.60697,14,-0.4558123000734361
17,1.4018114,1.5e-08,0.00054510846,1.09,1.112,1.758e-05,37.583336,14,0.0938163952334361
18,0.43935207,1.2e-07,0.0022024366,1.85,1.112,1.758e-05,257.72766,8,0.14449986233202483
19,0.72581977,7e-08,0.0011141705,1.64,1.112,1.758e-05,115.579666,14,0.013976173242795643
20,0.8670713,1.6999999e-07,0.0018544776,1.67,1.112,1.758e-05,195.89528,8,0.3738393357780594
21,1.2388414,5e-09,0.0005556288,0.82,1.112,1.758e-05,28.819372,8,-0.26412520536542416
22,0.8425113,9e-08,0.0011193654,1.61,1.112,1.758e-05,113.99445,15,0.23657601610462625
23,0.56555855,1.5e-08,0.0006214613,1.56,1.112,1.758e-05,61.32317,14,-0.23446717512124518
24,0.9309956,6e-08,0.0010358816,1.51,1.112,1.758e-05,98.94025,14,-0.15785549597384826
25,0.99330187,3.5e-08,0.0007732074,1.3,1.112,1.758e-05,63.580692,14,0.229368239532174
26,0.5564623,9e-08,0.0016234325,1.62,1.112,1.758e-05,166.35474,14,-0.18050035135679435
27,0.5688166,3e-07,0.0019883818,2.14,1.112,1.758e-05,269.1532,15,0.10268819985196968
28,0.6992112,1.6999999e-07,0.0016204194,1.77,1.112,1.758e-05,181.42061,15,-0.1280526820867803
29,0.8152506,1.05e-07,0.0014813858,1.62,1.112,1.758e-05,151.79907,14,0.41704530216244107
30,0.5838549,5.2e-07,0.0025007979,2.25,1.112,1.758e-05,355.9156,14,0.48991407560709316
