,Drag Coefficient,mass,diameter,fall_velocity,air_density,air_viscosity,Reynolds Number,shapes,KPCA1,KPCA2,KPCA3
0,1.5098137,1.6999999e-07,0.002135886,1.03,1.112,1.758e-05,139.15578,14,-0.25920208589656457,-0.029563009346912746,-0.17983051518070217
1,0.77231264,3e-07,0.0020549665,1.93,1.112,1.758e-05,250.86957,14,-0.09254226762474098,0.007062098564957708,-0.0764689133898393
2,0.46077716,7e-07,0.0030112963,2.54,1.112,1.758e-05,483.80804,14,0.36069577848131573,0.45705727203662416,0.100681665793699
3,0.3544514,9e-08,0.0016462463,2.01,1.112,1.758e-05,209.30365,14,-0.33167146477161996,0.16552506265845132,-0.11770844734807352
4,0.6445952,8.9e-07,0.0069175446,1.69,1.112,1.758e-05,739.4769,6,-0.017757165268597472,0.4975702998375979,-0.09466011665314143
5,0.49446458,1.5e-08,0.00080486404,1.32,1.112,1.758e-05,67.202034,14,-0.09864753882945389,0.09338106155423637,-0.28232988260182273
6,0.34235644,4.7e-07,0.0065452126,1.25,1.112,1.758e-05,517.5111,2,-0.3282962952780444,0.17737100303874623,-0.10715745754817227
7,0.8846468,1.2e-07,0.0025874262,0.932,1.112,1.758e-05,152.53511,10,-0.27669907559778517,0.2257125624504822,-0.1691521887643754
8,0.85683113,2.5e-07,0.0047352207,0.965,1.112,1.758e-05,289.037,4,0.18422980441180287,0.4689032720569596,0.05120458116702822
9,2.0334125,3.5e-08,0.000853616,1.03,1.112,1.758e-05,55.614197,14,0.02627688000482678,-0.14330847579734235,0.03592582133651531
10,0.7672016,6e-08,0.0015257457,1.33,1.112,1.758e-05,128.35706,8,0.07572211340029257,0.10899501586119716,0.17493093636717316
11,1.2559277,5.2e-07,0.0018454201,2.17,1.112,1.758e-05,253.30334,14,0.10235580283078403,-0.07661318920629621,-0.14400452441778883
12,1.4574544,6e-08,0.000944299,1.33,1.112,1.758e-05,79.44144,14,-0.24390769922711944,-0.04828496716367295,0.16210705309842255
13,2.5213618,3e-07,0.0023837616,0.868,1.112,1.758e-05,130.87854,13,-0.34810166443420987,-0.017869588905788398,-0.0983260167807283
14,0.8334195,9e-07,0.0022747393,2.58,1.112,1.758e-05,371.22504,14,-0.46973000213170446,0.020677384170503448,0.030790833917435055
15,1.2039663,7e-08,0.00095672224,1.51,1.112,1.758e-05,91.379486,14,-0.4387210986856154,0.05519746733083904,-0.06922664959958594
16,2.1044812,6e-08,0.0008941411,1.16,1.112,1.758e-05,65.60697,14,-0.4558123000734361,0.09641185008847974,0.020570267327812773
17,1.4018114,1.5e-08,0.00054510846,1.09,1.112,1.758e-05,37.583336,14,0.0938163952334361,-0.07947962402395332,-0.1470302484679635
18,0.43935207,1.2e-07,0.0022024366,1.85,1.112,1.758e-05,257.72766,8,0.14449986233202483,0.34225164115572654,0.08410101128726191
19,0.72581977,7e-08,0.0011141705,1.64,1.112,1.758e-05,115.579666,14,0.013976173242795643,-0.3048847503327932,0.08007415629847019
20,0.8670713,1.6999999e-07,0.0018544776,1.67,1.112,1.758e-05,195.89528,8,0.3738393357780594,0.3970458726298279,0.14216466211000284
21,1.2388414,5e-09,0.0005556288,0.82,1.112,1.758e-05,28.819372,8,-0.26412520536542416,0.23123067012841467,0.05413514613264272
22,0.8425113,9e-08,0.0011193654,1.61,1.112,1.758e-05,113.99445,15,0.23657601610462625,-0.369125926668343,0.12370242144493228
23,0.56555855,1.5e-08,0.0006214613,1.56,1.112,1.758e-05,61.32317,14,-0.23446717512124518,0.41882991237816425,-0.2824521910302585
24,0.9309956,6e-08,0.0010358816,1.51,1.112,1.758e-05,98.94025,14,-0.15785549597384826,-0.16011308678349104,-0.108891423915244
25,0.99330187,3.5e-08,0.0007732074,1.3,1.112,1.758e-05,63.580692,14,0.229368239532174,-0.3853632685012893,0.10197086901813404
26,0.5564623,9e-08,0.0016234325,1.62,1.112,1.758e-05,166.35474,14,-0.18050035135679435,-0.150350197910199,-0.014476518831443934
